Series Name,Series Code,Country Name,Country Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,6.57292298236362,6.78722893588666,8.3281084229243,4.05313986380152,4.22308382721044,2.82164245514005,1.58487281451019,1.18723435286199,1.98538809180384,2.51682705417127,3.48029321671386
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bulgaria,BGR,7.61684923191284,7.44148862736087,6.87712691687372,-2.72241467470245,2.22607879962553,2.74691033630859,1.33406609476458,0.0154185551696457,1.52486857768098,4.05941078673753,3.75177932752126
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Croatia,HRV,5.05675036784992,5.07184469340476,1.98070412803209,-6.71603377643166,-1.11003223418777,0.247771415133457,-1.78905505710179,0.498388391378725,0.207889836752912,3.55234224272188,4.591202433302
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Czechia,CZE,6.33483267502702,4.87504671188273,1.76470870979524,-5.33917400043343,2.41582950473446,1.56218617469108,-0.909418373536937,-0.0749629863879591,2.13762754064079,4.75262406551973,2.38405426207002
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Hungary,HUN,4.10805412926589,0.432838011374443,1.18095319914788,-6.45306695717771,1.30495875677843,2.15589713714503,-0.738925917657525,2.0832407689698,4.51336776781454,3.95428261265434,2.50305336152638
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Moldova,MDA,5.09166801572276,3.238946835622,8.00539195483559,-5.88123771461969,7.20697461136707,5.87938512338968,-0.576700868382531,9.0730755766005,5.06366581042911,0.429158887977096,5.87017576429136
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Montenegro,MNE,8.43155401049707,6.66273607597991,7.0326268462032,-5.99697748606286,2.54625315972683,3.12007495624715,-2.80561175003068,3.44796578700294,1.68499387988115,3.33238457780671,2.92545800874741
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Poland,POL,6.26942932351373,6.81843988104569,4.36953645222033,2.54561682473884,3.46400853867873,5.19888222323388,1.51202436704637,0.745031977271424,3.99831832124629,4.50138467634895,3.07547528252388
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Romania,ROU,8.67067585292331,8.82964823723904,11.1442089014979,-4.72628859385392,-3.33335291355054,5.01083371448033,2.35828066727251,0.651822267051088,4.50672544401942,3.64306941096366,3.45169541464914
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Serbia,SRB,4.3100102949839,8.27017356937334,5.60952277548294,-2.75343750726206,2.02027692991339,0.813571318496642,0.0402004968377128,0.941379085120815,-1.32558619041696,1.81545253787564,3.51588774723535
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Slovak Republic,SVK,8.92067962924423,10.7863007435509,5.27306100744647,-5.63117561577417,6.69110899435172,2.43026941263513,1.39646382666716,0.59516796903803,2.60832560844624,5.07697332221291,1.81647020936491
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ukraine,UKR,8.26961304502665,8.71227296398449,2.77550904646171,-14.7807201233911,4.46782513515676,5.78262206521443,0.364275557578679,0.226082936004985,-5.08846879597155,-9.27686663817931,2.94151228987063
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Greece,GRC,6.12419395220991,3.2435141883264,-0.207784595461192,-4.37113622406879,-5.81520522861373,-9.74334189544366,-7.83408917985673,-1.56089621973409,1.4658565283037,0.431225508451561,0.384851418379313
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,,
